Group,Family,Scientific_name,Name_Status,Accepted_Name,Taxonomic_Note,Origin,FloraStatus,ConceptNum,Acronym,FloraPage,Scientific_name_auths
Dicotyledons,Onagraceae,Oenothera flava ssp. flava,Synonym,Oenothera flava,,,,2836,OENFLAFLA,,Oenothera flava (A. Nelson) Garrett ssp. flava 
Dicotyledons,Onagraceae,Oenothera glazioviana,Accepted,Oenothera glazioviana,,"exotic, naturalized",Fully described,2835,OENGLA,,Oenothera glazioviana Micheli 
Dicotyledons,Onagraceae,Oenothera graciliflora,Synonym,Tetrapteron graciliflorum,,,,805,OENGRA,,Oenothera graciliflora Hook. & Arn. 
Dicotyledons,Onagraceae,Oenothera heterantha,Synonym,Taraxia subacaulis,,,,981,OENHET,,Oenothera heterantha Nutt. 
Dicotyledons,Onagraceae,Oenothera hilgardii,Synonym,Neoholmgrenia hilgardii,,,,813,OENHIL,,Oenothera hilgardii Greene 
Dicotyledons,Onagraceae,Oenothera hookeri,Synonym,Oenothera wolfii,in part,,,2842,OENHOO7OENWOL,,Oenothera hookeri Torr. & A. Gray 
Dicotyledons,Onagraceae,Oenothera hookeri,Synonym,Oenothera elata ssp. hirsutissima,in part,,,2837,OENHOO7OENELAHIR,,Oenothera hookeri Torr. & A. Gray 
Dicotyledons,Onagraceae,Oenothera hookeri ssp. angustifolia,Synonym,Oenothera elata ssp. hirsutissima,,,,2837,OENHOOANG2,,Oenothera hookeri Torr. & A. Gray ssp. angustifolia (Gates) Munz 
Dicotyledons,Onagraceae,Oenothera hookeri ssp. wolfii,Synonym,Oenothera wolfii,,,,2842,OENHOOWOL,,Oenothera hookeri Torr. & A. Gray ssp. wolfii Munz 
Dicotyledons,Onagraceae,Oenothera hookeri var. angustifolia,Synonym,Oenothera elata ssp. hirsutissima,,,,2837,OENHOOANG,,Oenothera hookeri Torr. & A. Gray var. angustifolia R.R. Gates 
Dicotyledons,Onagraceae,Oenothera hookeri var. ornata,Synonym,Oenothera elata ssp. hirsutissima,,,,2837,OENHOOORN,,Oenothera hookeri Torr. & A. Gray var. ornata (A. Nelson) Munz 
Dicotyledons,Onagraceae,Oenothera minor,Synonym,Eremothera minor,,,,872,OENMIN,,Oenothera minor (A. Nelson) Munz 
